label,candidates,match_variant
Ägypten,981503;766,aegyptus
Alexandria,961873;912872;727070;60409;60406;60410;876562;30205;29457;59694;59675;59668;59669,
Antiochia,961873;912872;609307;658381;897709;874623;554187,
Asien,915832;981509;599527,asia
Assyrien,844869;29492;569131178,assyria
Babylon,727082;893951,
Beroia,658409;491546,
Bithynien,991389;511189,bithynia
Gadara,697665;678142,
Galatien,991393;619161,galatia
Hadrianopolis,668331;648810;639017;638852;844959;373824;501427;530885;550898,
Italien,992073;1052;452346,italia
Judäa,981527;687934,iudaea
Kana,678220;678219;648662,
Mailand,79597;177578;172148;167828;138458;138459;383706;222116,mediolanum
Neocaesarea,668201;857177,
Palästina,991396;687995,
Rom,138535;423025,
Samaria,741591;678369;678370,
Sinai,746813;60685,
