label,reason,candidates,match_variant
Ägypten,ambiguous,981503;766,aegyptus
Alexandria,ambiguous,961873;912872;727070;60409;60406;60410;876562;30205;29457;59694;59675;59668;59669,
Antiochia,ambiguous,961873;912872;609307;658381;897709;874623;554187,
Arimathia,no_match,,
Asien,ambiguous,915832;981509;599527,asia
Assyrien,ambiguous,844869;29492;569131178,assyria
Babylon,ambiguous,727082;893951,
Beroia,ambiguous,658409;491546,
Bithynien,ambiguous,991389;511189,bithynia
Efrata,no_match,,
Gadara,ambiguous,697665;678142,
Galatien,ambiguous,991393;619161,galatia
Hadrianopolis,ambiguous,668331;648810;639017;638852;844959;373824;501427;530885;550898,
Indien,no_match,,
Israel,no_match,,
Italien,ambiguous,992073;1052;452346,italia
Jabbok,no_match,,
Juda,no_match,,
Judäa,ambiguous,981527;687934,iudaea
Kana,ambiguous,678220;678219;648662,
Kapernaum,no_match,,
Laodikea,no_match,,
Mailand,ambiguous,79597;177578;172148;167828;138458;138459;383706;222116,mediolanum
Makedonien,no_match,,
Mysien,no_match,,
Neocaesarea,ambiguous,668201;857177,
Nizäa,no_match,,
Palästina,ambiguous,991396;687995,
Rom,ambiguous,138535;423025,
Samaria,ambiguous,741591;678369;678370,
Sinai,ambiguous,746813;60685,
Sodom,no_match,,
Teman,no_match,,
